,name,birth,death,link,location,description
110,Yitzhak Isaac Halevy Rabinowitz,1847,1914,https://en.wikipedia.org/wiki/Yitzhak_Isaac_Halevy_Rabinowitz,,"Jewish historian, and founder of the agudath israel organization"
111,Solomon Judah Loeb Rapoport,1786,1867,https://en.wikipedia.org/wiki/Solomon_Judah_Loeb_Rapoport,,"Rabbi of tarnopol and prague, son-in-law of aryeh leib heller"
112,Yitzchak Yaacov Reines,1839,1915,https://en.wikipedia.org/wiki/Yitzchak_Yaacov_Reines,,"Lithuanian founder of the mizrachi religious zionist movement, a correspondent of theodor herzl"
113,Zvi Yosef HaKohen Resnick,1841,1912,https://en.wikipedia.org/wiki/Zvi_Yosef_Resnick,,"Educator, rosh yeshiva of ohel yitzhak in suwałki, poland"
114,Shmuel Salant,1816,1909,https://en.wikipedia.org/wiki/Shmuel_Salant,,"Ashkenazi chief rabbi of jerusalem for almost 70 years, talmudist and torah scholar"
115,Yisrael Lipkin Salanter,1810,1883,https://en.wikipedia.org/wiki/Yisrael_Lipkin_Salanter,,"Father of the musar movement in orthodox judaism, rosh yeshiva and talmudist"
116,Zundel Salant,1786,1866,https://en.wikipedia.org/wiki/Zundel_Salant,,"Instrumental in founding the etz chaim yeshiva in jerusalem, the bikur cholim hospital and hevrah kadisha, rabbi of yisrael salanter"
117,Dovber Schneuri,1773,1827,https://en.wikipedia.org/wiki/Dovber_Schneuri,,Second rebbe of lubavitch
118,Shmuel Schneersohn,1834,1882,https://en.wikipedia.org/wiki/Shmuel_Schneersohn,,Fourth rebbe of lubavitch
119,Moshe Schick (Maharam Shick),1807,1879,https://en.wikipedia.org/wiki/Moshe_Schick,,"Hungarian posek known as maharam schick, author of halachic responsa"
120,Refael Shapiro,1837,1921,https://en.wikipedia.org/wiki/Refael_Shapiro,,"Rosh yeshiva of the yeshivat volozhin, author of toras refael, son-in-law of the netziv, father-in-law of chaim soloveichik"
121,Moses Sofer (Chasam Sofer),1762,1839,https://en.wikipedia.org/wiki/Moses_Sofer,,Hungarian rabbi
122,Yaakov Chaim Sofer (Kaf ha-Chaim),1870,1939,https://en.wikipedia.org/wiki/Yaakov_Chaim_Sofer,,Baghdadi
123,Chaim Soloveitchik,1853,1918,https://en.wikipedia.org/wiki/Chaim_Soloveitchik,,"Founder of the brisker method, son of yosef dov soloveitchik (beis halevi), son-in-law of refael shapiro"
124,Yosef Dov Soloveitchik (Beis Halevi),1820,1892,https://en.wikipedia.org/wiki/Yosef_Dov_Soloveitchik_(Beis_Halevi),,
125,Yitzchak Elchanan Spektor,1817,1896,https://en.wikipedia.org/wiki/Yitzchak_Elchanan_Spektor,,"Russian posek and talmudist, rabbi of baresa, nishvez, novohrodo, chief rabbi of kovno"
126,Hayyim Tyrer,1740,1817,https://en.wikipedia.org/wiki/Hayyim_Tyrer,,Hasidic kabbalist
127,Simcha Zissel Ziv (The Alter of Kelm),1824,1898,https://en.wikipedia.org/wiki/Simcha_Zissel_Ziv,,"One of the early leaders of the musar movement, founder and director of the kelm talmud torah"
